Sales_Order_No,Doc_Type,Order_Date,Delivery_Date,Invoice_Date,Payment_Date,Customer_ID,Customer_Name,City,State,Country,Customer_Type,Material_Code,Material_Desc,Category,Plant,Shipping_Point,Division,Sales_Rep,Quantity,Unit_Price_INR,Discount_Pct,Net_Value_INR,COGS_INR,Gross_Profit_INR,Profit_Margin_Pct,Delivery_Days,Payment_Days,Order_Status,Month,Quarter,Year
SO-2024040,ZEX,2024-10-13,2024-10-26,2024-10-30,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1009,Electrical,Electrical,PL02-Pune,SP01,30,SR004-Meena Nair,47,37933.11,5.12,1691557.93,987000,704557.93,41.65,13,,Open,October,Q4,2024
SO-2024041,ZOR,2024-05-06,2024-05-17,2024-05-22,2024-06-22,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL02-Pune,SP02,20,SR005-Vikram Rao,41,1183.06,5.28,45945.28,29520,16425.28,35.75,11,31.0,Payment Received,May,Q2,2024
SO-2024042,OR,2024-03-18,2024-03-28,2024-04-01,2024-05-15,C002,Tata Consultancy Services,Pune,Maharashtra,IN,Domestic,MAT-1003,Electrical,Electrical,PL02-Pune,SP02,10,SR002-Priya Patel,10,23231.18,0.77,230521.3,132000,98521.3,42.74,10,44.0,Payment Received,March,Q1,2024
SO-2024043,OR,2024-10-26,2024-10-29,2024-11-03,,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL02-Pune,SP03,30,SR005-Vikram Rao,31,11410.61,4.22,338797.73,223200,115597.73,34.12,3,,Open,October,Q4,2024
SO-2024044,ZEX,2024-04-22,2024-05-10,2024-05-12,2024-05-29,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1010,Raw Material,Raw Material,PL02-Pune,SP03,10,SR004-Meena Nair,28,9205.62,4.67,245729.57,151200,94529.57,38.47,18,17.0,Payment Received,April,Q2,2024
SO-2024045,OR,2024-09-30,2024-10-03,2024-10-07,,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1010,Raw Material,Raw Material,PL02-Pune,SP01,10,SR003-Arjun Singh,37,9445.05,1.01,345946.42,199800,146146.42,42.25,3,,Invoiced,September,Q3,2024
SO-2024046,OR,2024-04-18,2024-05-05,2024-05-08,2024-05-29,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1006,Electrical,Electrical,PL01-Mumbai,SP02,10,SR005-Vikram Rao,49,19475.03,3.34,922412.32,529200,393212.32,42.63,17,21.0,Payment Received,April,Q2,2024
SO-2024047,OR,2024-04-24,2024-04-29,2024-04-30,2024-06-17,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1006,Electrical,Electrical,PL01-Mumbai,SP01,20,SR001-Rahul Sharma,2,19663.95,2.39,38387.05,21600,16787.05,43.73,5,48.0,Payment Received,April,Q2,2024
SO-2024048,OR,2024-08-26,2024-09-06,2024-09-09,2024-09-19,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1004,Electrical,Electrical,PL01-Mumbai,SP02,10,SR005-Vikram Rao,39,3643.8,8.98,129354.01,81900,47454.01,36.69,11,10.0,Payment Received,August,Q3,2024
SO-2024049,ZOR,2024-10-21,2024-11-05,2024-11-09,,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP02,30,SR005-Vikram Rao,46,1175.7,7.11,50239.54,33120,17119.54,34.08,15,,Invoiced,October,Q4,2024
SO-2024050,ZEX,2024-10-16,2024-10-20,2024-10-23,2024-11-26,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP02,20,SR001-Rahul Sharma,28,8918.44,0.83,247649.96,142800,104849.96,42.34,4,34.0,Payment Received,October,Q4,2024
SO-2024051,OR,2024-11-21,2024-12-08,2024-12-10,2025-01-06,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1006,Electrical,Electrical,PL03-Bangalore,SP02,20,SR004-Meena Nair,12,19081.25,11.59,202446.65,129600,72846.65,35.98,17,27.0,Payment Received,November,Q4,2024
SO-2024052,ZEX,2024-05-17,2024-05-30,2024-06-01,2024-07-24,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1010,Raw Material,Raw Material,PL03-Bangalore,SP03,30,SR004-Meena Nair,6,8926.55,5.41,50661.96,32400,18261.96,36.05,13,53.0,Payment Received,May,Q2,2024
SO-2024053,OR,2024-09-10,2024-09-23,2024-09-25,,C006,Mahindra & Mahindra,Chennai,Tamil Nadu,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL03-Bangalore,SP02,30,SR001-Rahul Sharma,14,15048.36,3.1,204145.52,126000,78145.52,38.28,13,,Open,September,Q3,2024
SO-2024054,ZOR,2024-02-13,2024-02-23,2024-02-27,2024-03-29,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1004,Electrical,Electrical,PL02-Pune,SP01,10,SR003-Arjun Singh,36,3723.04,8.29,122921.88,75600,47321.88,38.5,10,31.0,Payment Received,February,Q1,2024
SO-2024055,OR,2024-12-20,2024-12-30,2025-01-02,2025-02-13,C004,Wipro Ltd,Hyderabad,Telangana,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP03,20,SR003-Arjun Singh,38,12064.24,6.64,427992.84,273600,154392.84,36.07,10,42.0,Payment Received,December,Q4,2024
SO-2024056,ZEX,2024-05-18,2024-05-30,2024-06-02,2024-06-16,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP01,10,SR002-Priya Patel,8,6349.16,3.79,48869.92,28800,20069.92,41.07,12,14.0,Payment Received,May,Q2,2024
SO-2024057,ZEX,2024-05-21,2024-06-11,2024-06-16,2024-07-24,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1008,Mechanical,Mechanical,PL02-Pune,SP01,20,SR001-Rahul Sharma,19,6582.46,9.99,112570.64,68400,44170.64,39.24,21,38.0,Payment Received,May,Q2,2024
SO-2024058,ZEX,2024-03-05,2024-03-16,2024-03-17,2024-03-20,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1009,Electrical,Electrical,PL02-Pune,SP01,10,SR005-Vikram Rao,36,34783.72,11.33,1110349.58,756000,354349.58,31.91,11,3.0,Payment Received,March,Q1,2024
SO-2024059,OR,2024-09-02,2024-09-19,2024-09-22,2024-10-03,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1008,Mechanical,Mechanical,PL02-Pune,SP02,10,SR005-Vikram Rao,4,5927.23,10.34,21257.26,14400,6857.26,32.26,17,11.0,Payment Received,September,Q3,2024
SO-2024060,ZEX,2024-03-18,2024-03-25,2024-03-30,2024-05-29,C011,Global Tech Corp,New York,NY,US,Export,MAT-1001,Mechanical,Mechanical,PL02-Pune,SP03,30,SR005-Vikram Rao,20,14441.66,2.98,280230.85,180000,100230.85,35.77,7,60.0,Payment Received,March,Q1,2024
SO-2024061,ZOR,2024-07-13,2024-07-30,2024-08-03,,C004,Wipro Ltd,Hyderabad,Telangana,IN,Domestic,MAT-1009,Electrical,Electrical,PL03-Bangalore,SP01,10,SR002-Priya Patel,38,38447.66,3.66,1407471.56,798000,609471.56,43.3,17,,Delivered,July,Q3,2024
SO-2024062,ZOR,2024-03-21,2024-03-31,2024-04-02,2024-05-07,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP01,10,SR003-Arjun Singh,5,8274.58,4.9,39344.71,25500,13844.71,35.19,10,35.0,Payment Received,March,Q1,2024
SO-2024063,ZEX,2024-12-25,2025-01-11,2025-01-12,2025-02-24,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP01,20,SR001-Rahul Sharma,15,1306.3,9.45,17742.1,10800,6942.1,39.13,17,43.0,Payment Received,December,Q4,2024
SO-2024064,OR,2024-11-27,2024-12-04,2024-12-07,2025-01-28,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1004,Electrical,Electrical,PL03-Bangalore,SP02,20,SR001-Rahul Sharma,10,3362.49,1.99,32955.41,21000,11955.41,36.28,7,52.0,Payment Received,November,Q4,2024
SO-2024065,OR,2024-12-24,2025-01-08,2025-01-11,,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP02,30,SR003-Arjun Singh,35,1228.88,0.97,42595.72,25200,17395.72,40.84,15,,Open,December,Q4,2024
SO-2024066,OR,2024-04-27,2024-05-18,2024-05-23,2024-07-22,C001,Reliance Industries Ltd,Mumbai,Maharashtra,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL01-Mumbai,SP02,30,SR004-Meena Nair,2,9349.45,8.07,17190.4,10200,6990.4,40.66,21,60.0,Payment Received,April,Q2,2024
SO-2024067,ZOR,2024-10-26,2024-11-11,2024-11-15,,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1003,Electrical,Electrical,PL01-Mumbai,SP02,20,SR004-Meena Nair,31,22048.27,4.0,656158.6,409200,246958.6,37.64,16,,Invoiced,October,Q4,2024
SO-2024068,OR,2024-10-08,2024-10-12,2024-10-16,,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL01-Mumbai,SP03,30,SR004-Meena Nair,21,11854.32,1.39,245477.76,151200,94277.76,38.41,4,,Open,October,Q4,2024
SO-2024069,OR,2024-04-06,2024-04-25,2024-04-28,,C007,Bajaj Auto Ltd,Pune,Maharashtra,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL03-Bangalore,SP01,20,SR004-Meena Nair,49,15371.61,5.3,713254.96,441000,272254.96,38.17,19,,Invoiced,April,Q2,2024
SO-2024070,ZEX,2024-03-03,2024-03-06,2024-03-11,,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1008,Mechanical,Mechanical,PL02-Pune,SP01,10,SR001-Rahul Sharma,16,6338.8,3.73,97638.89,57600,40038.89,41.01,3,,Delivered,March,Q1,2024
SO-2024071,OR,2024-11-27,2024-12-04,2024-12-08,2025-02-05,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP01,20,SR005-Vikram Rao,46,8447.12,8.46,355675.66,234600,121075.66,34.04,7,59.0,Payment Received,November,Q4,2024
SO-2024072,OR,2024-04-07,2024-04-26,2024-04-28,2024-06-22,C003,Infosys Technologies,Bangalore,Karnataka,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP02,10,SR003-Arjun Singh,5,11897.25,9.48,53846.89,36000,17846.89,33.14,19,55.0,Payment Received,April,Q2,2024
SO-2024073,ZEX,2024-10-27,2024-11-17,2024-11-21,2025-01-15,C012,Euro Solutions GmbH,Berlin,Berlin,DE,Export,MAT-1005,Raw Material,Raw Material,PL03-Bangalore,SP02,20,SR003-Arjun Singh,10,1220.38,5.81,11494.49,7200,4294.49,37.36,21,55.0,Payment Received,October,Q4,2024
SO-2024074,OR,2024-10-19,2024-11-03,2024-11-05,2024-12-29,C004,Wipro Ltd,Hyderabad,Telangana,IN,Domestic,MAT-1004,Electrical,Electrical,PL02-Pune,SP02,30,SR002-Priya Patel,50,3540.66,3.82,170273.53,105000,65273.53,38.33,15,54.0,Payment Received,October,Q4,2024
SO-2024075,ZOR,2024-03-05,2024-03-24,2024-03-29,,C008,Sun Pharma,Ahmedabad,Gujarat,IN,Domestic,MAT-1001,Mechanical,Mechanical,PL01-Mumbai,SP03,10,SR004-Meena Nair,7,16216.93,5.28,107520.55,63000,44520.55,41.41,19,,Open,March,Q1,2024
SO-2024076,ZEX,2024-02-08,2024-02-26,2024-02-29,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1003,Electrical,Electrical,PL03-Bangalore,SP03,20,SR003-Arjun Singh,40,23185.93,7.8,855115.1,528000,327115.1,38.25,18,,Open,February,Q1,2024
SO-2024077,ZEX,2024-10-04,2024-10-08,2024-10-13,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1008,Mechanical,Mechanical,PL03-Bangalore,SP01,20,SR001-Rahul Sharma,16,6268.04,11.05,89205.66,57600,31605.66,35.43,4,,Cancelled,October,Q4,2024
SO-2024078,ZEX,2024-08-15,2024-08-23,2024-08-26,2024-10-22,C013,Asia Pacific Traders,Singapore,SG,SG,Export,MAT-1002,Mechanical,Mechanical,PL02-Pune,SP02,10,SR002-Priya Patel,2,8133.64,9.55,14713.15,10200,4513.15,30.67,8,57.0,Payment Received,August,Q3,2024
SO-2024079,ZOR,2024-10-16,2024-10-24,2024-10-26,,C009,HDFC Bank,Delhi,Delhi,IN,Domestic,MAT-1007,Mechanical,Mechanical,PL03-Bangalore,SP01,10,SR004-Meena Nair,6,12497.09,4.59,71540.42,43200,28340.42,39.61,8,,Invoiced,October,Q4,2024
SO-2024080,ZEX,2024-08-23,2024-09-03,2024-09-04,,C011,Global Tech Corp,New York,NY,US,Export,MAT-1005,Raw Material,Raw Material,PL02-Pune,SP02,30,SR003-Arjun Singh,30,1302.22,8.13,35889.9,21600,14289.9,39.82,11,,Invoiced,August,Q3,2024
SO-2024081,ZEX,2024-12-19,2024-12-30,2025-01-03,2025-02-26,C011,Global Tech Corp,New York,NY,US,Export,MAT-1007,Mechanical,Mechanical,PL01-Mumbai,SP02,30,SR003-Arjun Singh,20,11758.59,4.62,224315.53,144000,80315.53,35.8,11,54.0,Payment Received,December,Q4,2024
SO-2024082,ZOR,2024-12-24,2025-01-05,2025-01-06,2025-02-28,C010,ITC Limited,Kolkata,West Bengal,IN,Domestic,MAT-1005,Raw Material,Raw Material,PL01-Mumbai,SP03,30,SR004-Meena Nair,43,1211.25,0.1,52032.92,30960,21072.92,40.5,12,53.0,Payment Received,December,Q4,2024
SO-2024083,ZOR,2024-11-06,2024-11-20,2024-11-22,2025-01-01,C005,HCL Technologies,Noida,Uttar Pradesh,IN,Domestic,MAT-1004,Electrical,Electrical,PL03-Bangalore,SP01,30,SR001-Rahul Sharma,13,3650.97,8.13,43602.37,27300,16302.37,37.39,14,40.0,Payment Received,November,Q4,2024
SO-2024084,ZEX,2024-06-07,2024-06-24,2024-06-25,2024-08-01,C011,Global Tech Corp,New York,NY,US,Export,MAT-1001,Mechanical,Mechanical,PL03-Bangalore,SP02,10,SR002-Priya Patel,24,15897.81,1.08,377420.61,216000,161420.61,42.77,17,37.0,Payment Received,June,Q2,2024
